time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27371.70833	375	1.69437
27371.75	375	1.69437
27371.79167	375	1.69437
27371.83333	375	1.69437
27371.875	375	1.69437
27371.91667	375	1.69437
27371.95833	375	1.69437
27372	375	0.10529
27372.04167	375	0.10529
27372.08333	375	0.10529
27372.125	375	0.10529
27372.16667	375	0.10529
27372.20833	375	0.10529
27372.25	375	0.10529
27372.29167	375	0.10529
27372.33333	375	0.10529
27372.375	375	0.10529
27372.41667	375	0.10529
27372.45833	375	0.10529
27372.5	375	0.10529
27372.54167	375	0.10529
27372.58333	375	0.10529
27372.625	375	0.10529
27372.66667	375	0.10529
27372.70833	375	0.10529
27372.75	375	0.10529
27372.79167	375	0.10529
27372.83333	375	0.10529
27372.875	375	0.10529
27372.91667	375	0.10529
27372.95833	375	0.10529
27373	375	0
27373.04167	375	0
27373.08333	375	0
27373.125	375	0
27373.16667	375	0
27373.20833	375	0
27373.25	375	0
27373.29167	375	0
27373.33333	375	0
27373.375	375	0
27373.41667	375	0
27373.45833	375	0
27373.5	375	0
27373.54167	375	0
27373.58333	375	0
27373.625	375	0
27373.66667	375	0
27373.70833	375	0
27373.75	375	0
27373.79167	375	0
27373.83333	375	0
27373.875	375	0
27373.91667	375	0
27373.95833	375	0
27374	375	0
27374.04167	375	0
27374.08333	375	0
27374.125	375	0
27374.16667	375	0
27374.20833	375	0
27374.25	375	0
27374.29167	375	0
27374.33333	375	0
27374.375	375	0
27374.41667	375	0
27374.45833	375	0
27374.5	375	0
27374.54167	375	0
27374.58333	375	0
27374.625	375	0
27374.66667	375	0
27374.70833	375	0
27374.75	375	0
27374.79167	375	0
27374.83333	375	0
27374.875	375	0
27374.91667	375	0
27374.95833	375	0
27375	375	0
27375.04167	375	0.022152
27375.08333	375	0.044304
27375.125	375	0.066456
27375.16667	375	0.0886081
27375.20833	375	0.11076
27375.25	375	0.132912
27375.29167	375	0.155064
27375.33333	375	0.177216
27375.375	375	0.199368
27375.41667	375	0.22152
27375.45833	375	0.243672
27375.5	375	0.265824
27375.54167	375	0.287976
27375.58333	375	0.310128
27375.625	375	0.33228
27375.66667	375	0.354432
27375.70833	375	0.376584
27375.75	375	0.398736
27375.79167	375	0.420888
27375.83333	375	0.44304
27375.875	375	0.465192
27375.91667	375	0.487344
27375.95833	375	0.509496
27376	375	0.531648
27376.04167	375	0.531648
27376.08333	375	0.531648
27376.125	375	0.531648
27376.16667	375	0.531648
27376.20833	375	0.531648
27376.25	375	0.531648
27376.29167	375	0.531648
27376.33333	375	0.531648
27376.375	375	0.531648
27376.41667	375	0.531648
27376.45833	375	0.531648
27376.5	375	0.531648
27376.54167	375	0.531648
27376.58333	375	0.531648
27376.625	375	0.531648
27376.66667	375	0.531648
27376.70833	375	0.531648
27376.75	375	0.531648
27376.79167	375	0.531648
27376.83333	375	0.531648
27376.875	375	0.531648
27376.91667	375	0.531648
27376.95833	375	0.531648
27377	375	0.531648
27377.04167	375	0.531648
27377.08333	375	0.531648
27377.125	375	0.531648
27377.16667	375	0.531648
27377.20833	375	0.531648
27377.25	375	0.531648
27377.29167	375	0.531648
27377.33333	375	0.531648
27377.375	375	0.531648
27377.41667	375	0.531648
27377.45833	375	0.531648
27377.5	375	0.531648
27377.54167	375	0.531648
27377.58333	375	0.531648
27377.625	375	0.531648
27377.66667	375	0.531648
27377.70833	375	0.531648
27377.75	375	0.531648
27377.79167	375	0.531648
27377.83333	375	0.531648
27377.875	375	0.531648
27377.91667	375	0.531648
27377.95833	375	0.531648
27378	375	0.531648
27378.04167	375	0.531648
27378.08333	375	0.531648
27378.125	375	0.531648
27378.16667	375	0.531648
27378.20833	375	0.531648
27378.25	375	0.531648
27378.29167	375	0.531648
27378.33333	375	0.531648
27378.375	375	0.531648
27378.41667	375	0.531648
27378.45833	375	0.531648
27378.5	375	0.531648
27378.54167	375	0.531648
27378.58333	375	0.531648
27378.625	375	0.531648
27378.66667	375	0.531648
27378.70833	375	0.531648
27378.75	375	0.531648
27378.79167	375	0.531648
27378.83333	375	0.531648
27378.875	375	0.531648
27378.91667	375	0.531648
27378.95833	375	0.531648
27379	375	0.531648
27379.04167	375	0.531648
27379.08333	375	0.531648
27379.125	375	0.531648
27379.16667	375	0.531648
27379.20833	375	0.531648
27379.25	375	0.531648
